
2025/02/26 (08:19:23) | ===> btop++ v.1.4.0
2025/02/26 (08:19:23) | WARNING: Failed to join _runner thread on exit!

2025/02/26 (08:31:58) | ===> btop++ v.1.4.0
2025/02/26 (08:31:58) | WARNING: Failed to join _runner thread on exit!

2025/02/26 (08:32:17) | ===> btop++ v.1.4.0
2025/02/26 (08:32:17) | WARNING: Failed to join _runner thread on exit!

2025/02/26 (08:32:50) | ===> btop++ v.1.4.0
2025/02/26 (08:32:50) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (21:07:12) | ===> btop++ v.1.4.0
2025/03/06 (21:07:12) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (21:07:33) | ===> btop++ v.1.4.0
2025/03/06 (21:07:33) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (21:07:36) | ===> btop++ v.1.4.0
2025/03/06 (21:07:36) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (21:07:49) | ===> btop++ v.1.4.0
2025/03/06 (21:07:49) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (21:09:13) | ===> btop++ v.1.4.0
2025/03/06 (21:09:13) | WARNING: Failed to join _runner thread on exit!
